"file_name","id","source_org","source_file","original_id","type","name","address","city","state","zip_code","county","location_description","phone","url","latitude","longitude","latlng_source","date_from","date_to","SNAP","WIC","FMNP","fresh_produce","food_bucks","free_distribution","open_to_spec_group","data_issues","group_by_cluster","group_id","fuzzy_group_within_cluster","merged_record"
"food-data/Cleaned_data_files//additional_food_bucks_sites.csv","2","The Food Trust","Additional Food Bucks sites.xlsx","","","MAIN STREET FARMERS MARKET","139 S Main Street","Washington","PA",15301,"Allegheny","","","",40.172985,-80.246581,"Mapbox Geocode","","",1,NA,NA,NA,1,0,"","",NA,NA,NA,"0"
"food-data/Cleaned_data_files//bridgeway_capital_hffi.csv","4","Pittsburgh Food Policy Council","Bridgeway Capital - HFFI Funds.xlsx","","supermarket","52ND STREET MARKET","601 52nd Street","Pittsburgh","PA",15201,"Allegheny","","","",40.478792,-79.951927,"Mapbox Geocode","","",NA,NA,NA,1,NA,0,"","",NA,NA,NA,"0"
"food-data/Cleaned_data_files//bridgeway_capital_hffi.csv","5","Pittsburgh Food Policy Council","Bridgeway Capital - HFFI Funds.xlsx","","supermarket","PERRY'S HONEYDRIPPER","7006 Frankstown Avenue","Pittsburgh","PA",15208,"Allegheny","","","",40.458207,-79.900861,"Mapbox Geocode","","",NA,NA,NA,1,NA,0,"","",4,NA,NA,"0"
"food-data/Cleaned_data_files//bridgeway_capital_hffi.csv","7","Pittsburgh Food Policy Council","Bridgeway Capital - HFFI Funds.xlsx","","supermarket","BUTCHER ON BUTLER","5145 Butler Street","Pittsburgh","PA",15201,"Allegheny","","","",40.479645,-79.955229,"Mapbox Geocode","","",NA,NA,NA,1,NA,0,"","",NA,NA,NA,"0"
"food-data/Cleaned_data_files//bridgeway_capital_hffi.csv","8","Pittsburgh Food Policy Council","Bridgeway Capital - HFFI Funds.xlsx","","supermarket","GLUTEN FREE GOAT","4905 Penn Avenue","Pittsburgh","PA",15224,"Allegheny","","","",40.465487,-79.944923,"Mapbox Geocode","","",NA,NA,NA,1,NA,0,"","",7,NA,NA,"0"
"food-data/Cleaned_data_files//bridgeway_capital_hffi.csv","9","Pittsburgh Food Policy Council","Bridgeway Capital - HFFI Funds.xlsx","","supermarket","LA MARKET","511 Larimer Avenue","Pittsburgh","PA",15206,"Allegheny","","","",40.465564,-79.914164,"Mapbox Geocode","","",NA,NA,NA,1,NA,0,"","",8,NA,NA,"0"
"food-data/Cleaned_data_files//bridgeway_capital_hffi.csv","10","Pittsburgh Food Policy Council","Bridgeway Capital - HFFI Funds.xlsx","","supermarket","DAY LA SOUL","829-831 E. Warrington Avenue","Pittsburgh","PA",15210,"Allegheny","","","",40.4216501,-79.9951377,"Mapbox Geocode","","",NA,NA,NA,1,NA,0,"","",9,NA,NA,"0"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","11","Grow Pittsburgh","GP garden directory_listing-20210322.csv","","Grow PGH Garden","ANGORA GARDENS","3 Muse Lane","White Oak","PA",15131,"","community-farm","412.675.8556","http://www.angoragardens.com",40.342338,-79.788348,"Grow Pittsburgh","","",1,0,1,1,0,0,"0","no date/time;no county info",NA,NA,NA,"0"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","12","Grow Pittsburgh","GP garden directory_listing-20210322.csv","","Grow PGH Garden","EVERYBODY'S GARDEN","301 West Elizabeth Street","Pittsburgh","PA",15207,"","other","","",40.406546,-79.945442,"Grow Pittsburgh","","",1,0,1,1,0,0,"0","no date/time;no county info",NA,NA,NA,"0"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","13","Grow Pittsburgh","GP garden directory_listing-20210322.csv","","Grow PGH Garden","GLEN HAZEL COMMUNIUTY GARDEN","Johnston Avenue At Roselle Drive","Pittsburgh","PA",15207,"","other","","",40.40604,-79.931253,"Grow Pittsburgh","","",1,0,1,1,0,0,"0","no date/time;no county info",NA,NA,NA,"0"
